,sampletype,Blank,Blank,Control13Cglc,Control13Cglc,Control13Cglc,FASN,FASN,FASN,FADS2,FADS2,FADS2,SCD,SCD,SCD
Compound,Label,X20210713_inhib_blank01.mzXML,X20210713_inhib_blank02.mzXML,X20210713_inhib_s01_CONTROL_glc.mzXML,X20210713_inhib_s02_CONTROL_glc.mzXML,X20210713_inhib_s03_CONTROL_glc.mzXML,X20210713_inhib_s07_FASN.mzXML,X20210713_inhib_s08_FASN.mzXML,X20210713_inhib_s09_FASN.mzXML,X20210713_inhib_s13_FADS2.mzXML,X20210713_inhib_s14_FADS2.mzXML,X20210713_inhib_s15_FADS2.mzXML,X20210713_inhib_s19_SCD.mzXML,X20210713_inhib_s20_SCD.mzXML,X20210713_inhib_s21_SCD.mzXML
FA(16:2)nz,0,134609.2969,80626.89551,19105930.02,21565639.63,21969710.67,18359696.19,24476995.58,26767672.27,8752397.016,18505530.97,19809575.53,22231405.38,22959580.66,21393730.16
FA(16:2)nz,1,0,0,3325364.531,3843231.494,3926978.447,3061488.152,4258416.32,4562218.555,1520148.15,3190076.785,3313928.355,3943454.189,3933754.225,3672991.451
FA(16:2)nz,2,0,0,308633.7495,0,447239.1895,0,0,0,52019.40088,0,0,309716.6143,0,0
FA(16:2)nz,3,0,0,0,0,0,0,0,5335.697266,0,0,5402.852295,6666.375244,0,2403.295898
FA(16:2)nz,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,6,0,0,2719.958008,2347.10791,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,8,0,0,41346.63623,52826.43408,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,10,0,0,197538.7695,202928.2937,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,11,0,0,93946.90137,92287.32129,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,12,0,0,384196.7349,427206.7827,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,13,0,0,128191.7395,161029.5789,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,14,0,0,395938.4902,436669.6841,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,15,0,0,68459.7937,60431.77344,0,0,0,0,0,0,0,0,0,0
FA(16:2)nz,16,0,0,165380.6001,213113.3477,0,0,0,0,0,0,0,0,0,0
FA(18:0),0,648384488,460146237,770849818.5,1284889796,1259070918,807128563.5,1556827560,1954026222,320898938.5,1290045694,1712773022,832192243,1360179826,1239569286
FA(18:0),1,130520046.9,89837352.88,156115374.8,262209262.6,257906838.6,165666767,314692938.4,401791850.6,63449862.94,261258047.8,347750514.1,167170808.6,275506320.9,249361541.4
FA(18:0),2,13143743.55,10536477.44,130543608.4,234152499.4,217414223.2,90038184.73,186766658.2,242097838,45887027.86,216434871.2,284936631.2,118377083.8,242651853.4,212357724.6
FA(18:0),3,629330.9229,396526.8672,20162729.2,36628583.57,33455653.59,13508770.19,26961065.16,34981582.95,6600707.836,32336163.67,42307977.33,16983241.05,36675235.66,32736728.85
FA(18:0),4,0,0,6195485.876,11876765.13,10472479.58,2909290.697,6120644.225,8155562.695,2018185.208,11118418.14,14573900.16,9546174.419,16869435.91,15328288.33
FA(18:0),5,0,0,1183465.449,1918125.138,1964444.023,266373.6787,689803.6211,770620.5127,296320.957,1873567.894,3113991.291,2264581.259,3618219.702,3259592.654
FA(18:0),6,0,0,3200487.676,6550943.015,5545986.433,119976.0771,345618.4014,632413.0391,1508933.131,8127665.847,12173145.75,11913522.63,19179188.91,16304669.2
FA(18:0),7,0,0,2667792.284,4709481.294,4517362.484,0,0,69026.7168,899267.8975,4961473.403,6810369.091,4313454.615,7846767.219,6864380.255
FA(18:0),8,0,0,12933979.56,24270029.73,21339713.81,0,512918.6362,0,5478140.187,28191701.31,40672650.14,22289709.71,42120427.96,35873832.63
FA(18:0),9,0,0,10516401.33,19104028.16,17668584.68,54476.76416,139182.9307,251786.4873,3375893.115,17260212.49,24404837.99,8625137.331,18260657.78,15924911.22
FA(18:0),10,0,0,41311840.5,72612668.62,67515528.36,430293.7129,555512.9775,1122322.298,14621900.73,71228210.78,101729595.5,37199803.9,79078678.89,68511088.54
FA(18:0),11,0,0,29791965.02,52495271.04,48987753.7,205149.3955,456965.7783,589197.8496,7919214.762,38795680.75,53935608.14,13582711.71,32447867.64,29036824.61
FA(18:0),12,0,0,93169485.13,164462125.3,154122597.9,627482.9766,1120115.924,1586197.267,26707165.14,135565862.1,189849689.2,49400379.22,115835191.9,101893443.9
FA(18:0),13,0,0,54695636.01,97983304.36,89180947.44,242473.7813,490298.9512,711388.4956,12246301.39,60023031.53,82062560.07,14957808.98,39989240.91,36152502.89
FA(18:0),14,0,0,147775046,263248611.1,239554308.7,891987.6377,1148308.985,1548977.796,36406584.82,177342546.8,250955015.3,46581718.06,125058724.4,111590117
FA(18:0),15,0,0,60752251.51,108695491.6,99463026.13,289315.269,345563.1523,646865.8848,11776415.04,56822672.22,78471168.02,11082833.76,31906827.8,28581183.06
FA(18:0),16,0,0,141376571.9,252016968.4,230197224.4,639936.6519,809604.9038,981359.6436,28809705.35,144999325.6,199635160.6,29736767.49,85093640.32,74934109.86
FA(18:0),17,0,0,30785495.52,54870313,51313728.73,80062.48438,80462.2793,0,5101667.63,24714743.01,34694400.15,3969875.097,12202690.84,11598218.52
FA(18:0),18,0,0,60051087.06,105208414,96651861.76,0,376196.1377,485814.209,11541853.1,55244885.08,75929017.97,9355095.04,28490484.69,25418669.85
FA(18:1)n10,0,8002773,12808334.5,76982811.13,129474599.8,142679841.8,39043137.5,104292699.8,212368977.8,22546932.5,115380206.9,280192709.3,61148604.75,136219137.3,219126202.3
FA(18:1)n10,1,1926670.188,2887586.141,17518470.56,28450415.34,30652413.44,7951749.359,21182982.75,42216697.38,4732553.063,23107071.28,57140849.31,12570851.88,28869519.22,43676279.06
FA(18:1)n10,2,0,0,42800600.7,62625240.06,0,7285173.875,17975364.58,24641244.09,4740473.258,24635691.45,47169381,23952937.73,0,0
FA(18:1)n10,3,0,0,7320856.18,10582181.75,0,1185796.495,2845218.424,3562217.16,797545.1587,3847574.59,6726080.555,3937715.906,0,0
FA(18:1)n10,4,0,0,2160240.61,2856195.996,0,169045.2034,526408.5918,856013.5859,0,735656.4077,2097922.106,1683296.823,3627686.599,0
FA(18:1)n10,5,0,0,292401.1663,464262.3362,0,3417.337891,0,23067.91821,0,85577.12573,371757.071,348465.3354,817241.7026,0
FA(18:1)n10,6,0,0,669818.7583,1032109.525,1033895.249,0,0,0,0,349015.0168,1358854.271,1864830.399,3762577.955,0
FA(18:1)n10,7,0,0,512850.2708,804668.7119,784136.4121,0,0,0,0,203066.2771,805661.2964,535329.0674,1556433.443,0
FA(18:1)n10,8,0,0,2409829.249,3814068.316,3343747.783,0,0,32773.65869,0,1179018.351,4476668.193,3394659.222,7633571.791,0
FA(18:1)n10,9,0,0,2335974.074,3095022.807,3005796.641,0,0,0,0,673983.3091,2728489.46,1173437.483,3297442.403,0
FA(18:1)n10,10,0,0,8094603.867,11391970.45,11296538.7,0,0,71155.56104,526172.6357,2592578.811,11661821.64,5554408.479,13967614.48,0
FA(18:1)n10,11,0,0,6360596.193,9435591.852,8432945.977,0,0,25731.90112,313366.7224,1520204.956,6487045.016,1892893.818,5257813.207,0
FA(18:1)n10,12,0,0,18185928.52,26686816.66,26106335.66,0,0,121083.0112,1398576.914,4852345.199,22300811.09,6428714.806,18656881.05,0
FA(18:1)n10,13,0,0,11109134.01,16740466.92,16389125.09,0,0,23795.00854,430049.9785,2333451.283,11496394.5,1896396.864,6137427.984,0
FA(18:1)n10,14,0,0,28674929.08,42688715.16,40367607.34,49501.24927,0,116738.6401,1169716.766,6789479.523,30078230.5,5907668.25,18565241.7,0
FA(18:1)n10,15,0,929.6621094,12523361.69,18490069,17590581.41,0,0,15903.71362,551561.0518,2202491.557,10134918.31,1231984.103,4483057.092,0
FA(18:1)n10,16,0,75081.50781,27621560.38,40331513.09,38680810.22,0,0,78700.94824,1610063.503,5622996.121,24914448.52,3458328.763,12022448.68,0
FA(18:1)n10,17,0,0,6555515.525,9665108.297,8782053.297,0,0,0,195063.8188,1009627.469,4870650.35,323035.9863,1705933.841,0
FA(18:1)n10,18,0,0,11980121.69,17899347.71,17285246.66,0,0,0,441688.1626,2942203.296,10026949.54,1062204.566,3739650.01,0
FA(18:1)n7,0,8484421.5,6063712.625,922018857.5,1302692022,1153765747,469360400.7,1121296391,1206435294,243338457.1,1212901717,1263288310,668038493.6,1311842952,973577077
FA(18:1)n7,1,0,1524418.656,198139094.8,279874644.9,249171377.7,98301765.45,238207723.1,256208480.2,50519937.16,254556557.3,267892620.4,133501704.6,264938465.9,196654364.4
FA(18:1)n7,2,0,0,356239536.8,498642092.2,437406065.8,106938428.3,257620663.5,264125772.4,88918177.5,447688879.1,449804877.4,77861601.48,176864941.1,125919666.7
FA(18:1)n7,3,0,0,56348522.98,79173358.01,69325314.36,16515447.16,39111537.3,39786649.84,14086309.08,70701501.83,70858242.37,11297814.02,25484485.95,18108459.12
FA(18:1)n7,4,0,0,14372739.82,19863528.35,17271899.93,3327790.197,8001061.824,8303192.165,3545971.847,18172038.56,18429381.55,1400274.61,3155652.932,2068587.572
FA(18:1)n7,5,0,0,1954570.198,2705702.812,2513785.82,282631.811,760153.1978,803506.7571,574724.7515,3064912.061,3307329.597,59345.1709,144616.1438,73361.79395
FA(18:1)n7,6,0,0,3755115.083,5069720.945,4841328.284,0,351448.1885,0,1713819.263,9134031.439,10640758.96,23468.54297,85551.36108,31904.61572
FA(18:1)n7,7,0,0,2837769.498,3967697.832,3454468.461,0,0,0,969273.1853,5336595.124,5860970.277,0,0,0
FA(18:1)n7,8,0,0,13640553.83,18086257.98,17105659.41,0,0,0,5479364.136,27761903.95,31284661.56,0,192826.2222,83243.79004
FA(18:1)n7,9,0,0,10939160.33,14993356.77,13587556.23,5885.593262,0,0,3056252.799,16144166.08,17485346.42,0,16781.31445,17156.93701
FA(18:1)n7,10,0,0,40909997.37,55430487.93,50303588.79,126744.533,370152.1975,488913.3196,13166121.8,65791292.14,72126742.74,148840.9211,343462.4414,0
FA(18:1)n7,11,0,0,29911475.54,41181660.43,36893938.36,0,168007.0386,0,6660704.998,32661251.57,35928523.13,0,119337.7776,0
FA(18:1)n7,12,0,0,91312370.09,123970689.8,111866729.9,283545.2158,558716.5186,622322.4546,23539656.9,114867310.8,124821638.5,0,663673.7256,522151.1008
FA(18:1)n7,13,0,0,54338063.3,74728098.33,66014431.62,119961.4246,157108.53,175146.0313,9608218.07,46643785.18,50814127.7,19102.86011,102181.9683,120814.4639
FA(18:1)n7,14,0,0,140430662.8,193247946,172429353.3,327529.3831,497722.4165,539782.7034,29084252.52,140520363.2,151237238.7,0,747726.5754,548995.6238
FA(18:1)n7,15,0,0,59536659.68,82137018.24,72834659.98,0,0,52533.47327,8585861.72,41809540.03,44572459.15,0,58967.03271,65191.33618
FA(18:1)n7,16,0,0,129380439.1,178722012.7,159174048.2,265340.8059,316233.05,351182.853,22154525.07,104759523,112182693.5,131363.6616,460427.6379,267324.9534
FA(18:1)n7,17,0,0,29416055,40983543.69,35563250.27,12437.79932,0,8931.146973,3517182.635,16851697.52,17572237.36,0,0,0
FA(18:1)n7,18,0,0,56121032.34,76414319.46,67831196.57,120831.7227,167364.7368,0,8040085.856,37512835.7,40359892.07,23311.07666,76511.448,39582.12219
FA(18:1)n9,0,76218910,78134951.75,2076151878,2996235802,2692578546,1054362573,2526926825,2701222821,557402469.1,2780111533,2904391137,1323406271,2668170150,2153903883
FA(18:1)n9,1,14056460.25,15012562.08,425093062.4,612077373.3,549932619.1,213189042.6,511814840.3,545366349.5,110818977.3,561898992.6,585119033.1,264394133.9,531265749.8,427280851.1
FA(18:1)n9,2,371986.2109,736390.6992,297931939.5,406544719.4,370883274.1,75491361.41,169208844.2,174293113.4,61879982.06,294059662.3,330366459.3,32073211.97,67853771.5,57770808.75
FA(18:1)n9,3,0,0,45309973.39,61536095.88,55900728.48,10862918.54,23120520.07,24378159.94,9548811.902,41940721.66,48767462,3844377.74,9020937.71,6022333.836
FA(18:1)n9,4,0,0,14565038.39,20049068.6,18224705.55,2328243.553,4975586.391,5675118.332,3062269.717,16338089.5,15843122.73,573766.8115,986665.9365,1102104.211
FA(18:1)n9,5,0,0,2787807.341,3575779.067,3171171.079,205925.5142,585658.5198,710753.5723,594996.7251,2950422.699,3179728.033,0,0,0
FA(18:1)n9,6,0,0,7155768.438,9376533.59,9038595.372,101916.8389,0,488516.2742,2446945.493,11117653.07,14410705.08,154167.7373,330836.3201,285005.8132
FA(18:1)n9,7,0,0,5822113.622,8299504.723,7461539.854,0,0,79854.2627,1499095.95,7373804.928,8503316.504,0,0,0
FA(18:1)n9,8,0,0,27219038.78,38266583.11,34103513.49,0,630621.4902,807101.4431,8144299.576,37853712.75,42370557.22,625268.8403,1128222.129,903866.2341
FA(18:1)n9,9,0,0,23922950.67,32602469.88,29127793.23,0,109200.7676,156459.9766,5263330.686,23310028.7,26552536.96,172163.3582,321195.3882,293033.8252
FA(18:1)n9,10,0,0,89406327.52,119165290.7,108758322.4,419630.501,754820.2305,917220.6714,21050356.16,97149303.77,110930852,931908.2712,2072422.547,1509511.304
FA(18:1)n9,11,0,0,65367775.67,89962317.58,81485008.9,266904.8804,449041.9836,498997.3508,12182856.91,54215843.02,61344686.72,320767.7188,1012446.329,662059.7249
FA(18:1)n9,12,0,0,201880011.6,274951474.9,246745203.2,770146.5352,1402947.671,1513344.57,41200058.36,186149573.4,212390684.1,1404929.18,3245833.901,2335569.383
FA(18:1)n9,13,0,0,122452903.5,166034926.8,149983420.6,356050.2969,575734.3984,455773.7529,18407781.24,83717223.02,94767500.77,378124.9619,1186679.968,838241.8108
FA(18:1)n9,14,0,0,323757975.7,436988935.6,394995160.9,828665.7251,1206636.115,1323511.721,54846261.56,246843154.3,280522612.1,1402846.694,3475580.682,2569029.019
FA(18:1)n9,15,0,0,136958899.7,185661970.8,165576046.9,324992.9553,0,394629.8667,18168501.38,79897536.68,89365524.28,319286.3428,1040653.879,723631.8391
FA(18:1)n9,16,27297.46973,0,309428702.5,419877488.2,375530814.5,691881.106,709288.5554,860385.4509,45506791.93,200675027.6,224150897.2,929180.2588,2414942.822,1635145.948
FA(18:1)n9,17,0,0,69442087.48,94120834.34,84031976.4,64246.1792,0,6504.653076,7961644.023,35423529.66,42501538.32,0,97292.01221,74150.17383
FA(18:1)n9,18,0,0,133450854.3,177844901.7,160634460.4,291311.4226,379222.4146,0,18649409.43,78943452.77,88466626.01,247935.0967,705540.377,602520.9082
FA(18:2)n6,0,14167892.19,19284613.88,853957412.8,986363638.3,951452692.5,393192111.1,759497698,757171081.5,307282163,1089911258,1017483514,601831140.6,822875035.7,736024391.5
FA(18:2)n6,1,2749884.789,3845797.469,167263462.8,194092540.1,187048146.3,76449092.91,148751312.2,150209629.1,59288671.64,213224552,200263003.8,117414442.4,161244115.8,144343328.5
FA(18:2)n6,2,31078.72656,149766.2637,16905385.2,19437676.02,18538750.85,7574266.946,13905434.92,14156103.68,5262114.906,19543044.18,18157259.71,11232457.94,15952292.93,14112554.76
FA(18:2)n6,3,0,0,1384657.971,1589094.199,1619224.698,495440.2102,1192848.331,1115226.258,310227.2766,1403621.746,1350766.333,962215.2712,1257986.935,1040912.095
FA(18:2)n6,4,0,0,204316.3867,336661.5117,320362.7109,0,0,0,13297.20508,304474.3018,0,0,0,0
FA(18:2)n6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,10,0,0,23976.82617,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,12,0,0,64368.96899,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,13,0,0,31470.39648,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1796.597656
FA(18:2)n6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,16,0,0,158861.4189,121453.2361,0,0,0,0,0,0,0,0,0,0
FA(18:2)n6,17,0,0,0,0,6276.640137,0,0,0,0,0,0,0,0,0
FA(18:2)n6,18,0,0,26339.0647,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n7,0,1419537,1451151.219,47460495.38,62968983.88,60171120,26130968.38,51138015.19,74108878.25,16090306.78,51263280.94,106270760.3,44658393.31,58250232.88,63532014.5
FA(18:2)n7,1,0,0,10451696.91,13371347.63,11946341.28,5558362.508,10935163.14,14898139.44,2939484.438,9862581.875,20707633.63,8820091.953,11459820.98,12604987.23
FA(18:2)n7,2,0,0,0,0,0,6753681.492,0,0,333797.4053,0,0,9872267.023,0,0
FA(18:2)n7,3,0,0,0,0,0,1093860.033,0,0,0,0,211686.1472,1714304.146,0,0
FA(18:2)n7,4,0,0,0,0,0,37570.45508,184771.4639,0,0,0,18980.58984,53598.68799,0,0
FA(18:2)n7,5,0,0,0,0,0,0,3193.187988,0,0,0,0,0,0,0
FA(18:2)n7,6,0,0,0,0,137016.7734,0,0,0,0,0,0,1093.261475,0,0
FA(18:2)n7,7,0,0,89080.41821,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)n7,8,0,0,463370.8535,0,513939.3909,0,0,1537.533691,0,0,0,0,0,0
FA(18:2)n7,9,0,0,379710.0935,427231.6836,381373.2305,0,0,0,0,0,0,0,0,0
FA(18:2)n7,10,0,0,1394784.804,1550028.287,1519464.096,0,0,0,0,0,0,0,0,0
FA(18:2)n7,11,0,0,973908.0576,1185424.194,1197998.403,0,0,0,0,0,0,0,0,0
FA(18:2)n7,12,0,0,2900064.58,3383911.4,3511452.889,0,0,0,0,0,0,0,0,0
FA(18:2)n7,13,0,0,1687136.779,2138953.646,2251741.361,0,0,0,0,0,0,0,0,0
FA(18:2)n7,14,0,0,4440571.172,5670091.125,5079702.047,0,0,0,0,0,0,0,0,0
FA(18:2)n7,15,0,0,2205097.762,2500451.34,2271085.465,0,0,0,0,0,0,0,0,0
FA(18:2)n7,16,0,0,4211810.344,5227649.816,4621687.605,0,0,0,0,0,0,0,0,0
FA(18:2)n7,17,0,0,1031036.932,1117160.728,1162685.435,0,0,0,0,0,0,0,0,0
FA(18:2)n7,18,0,0,1753433.965,2235974.227,2018136.544,0,0,0,0,0,0,0,0,0
FA(18:2)nx,0,1101727.688,1178543.875,15753898.75,18996829.88,17980189.25,7595278.844,12162339.06,13147625,4325234.094,17124631.63,17807811.44,12499078.06,18716958.81,14979996.19
FA(18:2)nx,1,0,488043.543,3145438.453,3949838.469,3345436.844,1548527.594,2548954.047,2550247.078,1090542.031,3273410.266,3755918.844,2475644.195,3796174.594,2746895.109
FA(18:2)nx,2,0,0,3019616.328,3330039.656,2894711.422,659014.3145,1477410.777,1284845.012,833243.5332,3667652.754,3897050.523,699316.3555,1015874.434,1143056.164
FA(18:2)nx,3,0,0,469072.792,566710.5732,590256.6328,0,239685.7236,257070.5098,126486.4055,600743.1953,587684.8198,116593.4065,180879.8252,179632.1196
FA(18:2)nx,4,0,0,0,52194.64258,70902.9751,0,0,0,0,0,0,0,0,0
FA(18:2)nx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)nx,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)nx,7,0,0,0,0,0,0,0,0,0,0,13925.23608,0,0,0
FA(18:2)nx,8,0,0,91719.20068,133413.6329,0,0,0,0,0,164933.7327,0,0,0,0
FA(18:2)nx,9,0,0,51624.68433,72637.27856,0,0,0,0,1805.650635,60221.41528,0,0,0,0
FA(18:2)nx,10,0,0,0,365293.002,391486.3198,0,0,0,0,416059.9778,0,0,0,0
FA(18:2)nx,11,0,0,244118.6506,238201.9888,257156.311,0,0,0,0,164890.2581,195061.0068,0,0,0
FA(18:2)nx,12,0,0,817389.5645,807763.71,1028796.4,0,0,0,0,698848.999,784049.386,0,0,0
FA(18:2)nx,13,0,0,454850.6274,479782.5942,538148.8491,0,0,0,48063.14209,245909.3096,271532.9221,0,0,0
FA(18:2)nx,14,0,0,1389045.385,1201030.801,1192230.547,0,0,0,209091.0242,813574.3022,907462.8447,0,0,685.572998
FA(18:2)nx,15,0,0,405920.3208,483835.4824,427075.7656,0,0,0,0,215948.0557,215637.7251,0,0,0
FA(18:2)nx,16,0,0,947680.9609,1112216.858,1043334.037,0,0,0,169665.6648,645635.9614,681877.071,0,0,0
FA(18:2)nx,17,0,0,212559.3311,251461.2488,226694.5073,0,0,0,2280.295654,63913.43848,72916.66431,0,0,0
FA(18:2)nx,18,0,0,430968.6592,470902.4448,450089.0669,0,0,0,0,0,199736.3301,0,0,0
FA(18:2)ny,0,1284655.313,660885,12554194.13,16287202.13,17219666.56,5234575.938,17961722.25,20882670.38,5148731.469,23816781.88,28415443.13,8978725.5,13765280.31,12744755.06
FA(18:2)ny,1,0,0,2039025.922,3400820.047,3603408.688,1064197.938,3314640.531,4203651.328,1129215.883,4695014.844,5573683.781,1706593.313,2797026.281,2708484.43
FA(18:2)ny,2,0,0,1354171.344,1524997.406,1424926.109,625410.3652,1226622.742,1376662.879,677530.6133,3226510.367,3141346.047,296758.6211,474135.7695,768304.3047
FA(18:2)ny,3,0,0,252760.7402,532965.0176,256842.2334,0,184836.9722,212608.6909,107017.8748,572380.3789,480840.123,0,0,0
FA(18:2)ny,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,9,0,0,0,0,867.769043,0,0,0,0,0,13822.95032,0,0,0
FA(18:2)ny,10,0,0,0,0,0,0,0,0,0,103693.7236,0,0,0,0
FA(18:2)ny,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,13,0,0,0,0,0,0,0,0,0,0,55534.26587,0,0,0
FA(18:2)ny,14,0,0,0,0,0,0,0,0,0,0,216666.0015,0,0,0
FA(18:2)ny,15,0,0,0,0,105928.8262,0,0,0,2224.368408,0,33020.15137,0,0,0
FA(18:2)ny,16,0,0,0,0,153027.3848,0,0,0,0,130765.3306,0,0,0,0
FA(18:2)ny,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)ny,18,0,0,0,0,77262.1814,0,0,0,1881.449219,0,0,0,0,0
FA(18:2)nz,0,2710599.25,2267777.219,12875388.03,15584961.09,13703329,7731779.281,17733803.13,17365195.44,2602525.031,8381879.5,14120843.81,15939175.53,22632972.69,18980587.31
FA(18:2)nz,1,0,419181.8828,2785913.719,3019470.547,2799741.469,1702614.086,3489324.375,3412997.805,584559.7461,1918133.031,3016948.539,3140626.133,4182886.93,3507869.07
FA(18:2)nz,2,0,0,1672207.904,2080913.543,1807522.348,694824.7676,1412808.67,1486476.762,165356.0996,749384.4824,1744566.814,608475.3789,1076193.564,840412.6309
FA(18:2)nz,3,0,0,276087.3218,342945.1934,312876.9883,68857.5686,211899.7976,220426.3223,0,96954.50269,296288.4124,58221.96289,117275.5811,114640.6865
FA(18:2)nz,4,0,0,0,0,0,0,0,808.4179688,0,3724.360352,0,0,0,0
FA(18:2)nz,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)nz,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)nz,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)nz,8,0,0,0,0,0,0,0,0,0,0,10698.42822,0,0,0
FA(18:2)nz,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:2)nz,10,0,0,0,257051.6614,201442.0632,0,0,0,0,8840.365479,0,0,0,0
FA(18:2)nz,11,0,0,140098.4475,189816.458,183538.311,0,0,0,0,0,0,0,0,0
FA(18:2)nz,12,0,0,522889.6448,613940.627,625458.6909,0,0,0,0,23330.85327,115324.4868,0,0,3229.106323
FA(18:2)nz,13,0,0,335093.6377,410913.1626,312753.4312,0,0,0,0,0,0,0,0,0
FA(18:2)nz,14,0,0,767662.2207,919551.1016,819522.8516,0,0,0,0,21000.29028,145139.2744,0,0,0
FA(18:2)nz,15,0,0,347672.2466,400082.7319,370219.9443,0,0,0,0,0,0,0,0,0
FA(18:2)nz,16,0,0,828777.2607,917702.0566,965809.6873,0,0,0,0,24846.79639,103268.6196,0,0,0
FA(18:2)nz,17,0,0,158134.6416,181899.7803,167107.2747,0,0,0,0,0,0,0,0,0
FA(18:2)nz,18,0,0,322114.0674,411249.0764,398714.4507,0,0,0,0,7021.25,24702.46277,0,0,0
FA(18:3)n3,0,481843.3555,611135.5508,9476705.313,10820824.95,13508064.01,3669719.768,5977357.994,5984418.196,8531862.336,19660424.56,19725266.12,6133178.943,6092167.241,5405722.329
FA(18:3)n3,1,0,125673.2637,1715311.27,2025823.909,2531170.431,640716.6758,1136482.098,1162422.706,1471393.998,3476208.036,3623904.944,1054439.591,1103973.046,1025783.352
FA(18:3)n3,2,0,0,103120.708,145855.3018,171369.498,0,47358.38916,0,113271.1177,361773.4055,325749.665,46847.28809,44282.53857,0
FA(18:3)n3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,4,0,0,0,0,0,0,0,0,0,8008.809082,0,0,0,0
FA(18:3)n3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA(18:3)n6,0,401468.584,333010.4336,22932028.91,25986539.16,24416747.61,26946352.61,37416928.24,39490719.29,2632938.055,6871714.18,6708959.266,49703746.48,51711811.03,50089611.2
FA(18:3)n6,1,0,0,4582502.318,4912051.834,4763828.664,5365217.259,7427728.055,7603734.189,570249.6919,1470243.565,1561212.92,9304685.17,10238590.25,9706858.617
