,sampletype,Blank,Blank,Control13Cglc,Control13Cglc,Control13Cglc,FASN,FASN,FASN,FADS2,FADS2,FADS2,SCD,SCD,SCD
Compound,Label,X20210713_inhib_blank01.mzXML,X20210713_inhib_blank02.mzXML,X20210713_inhib_s01_CONTROL_glc.mzXML,X20210713_inhib_s02_CONTROL_glc.mzXML,X20210713_inhib_s03_CONTROL_glc.mzXML,X20210713_inhib_s07_FASN.mzXML,X20210713_inhib_s08_FASN.mzXML,X20210713_inhib_s09_FASN.mzXML,X20210713_inhib_s13_FADS2.mzXML,X20210713_inhib_s14_FADS2.mzXML,X20210713_inhib_s15_FADS2.mzXML,X20210713_inhib_s19_SCD.mzXML,X20210713_inhib_s20_SCD.mzXML,X20210713_inhib_s21_SCD.mzXML
FA(14:1)nx,6,0,0,218319.8389,211775.1169,221958.5266,0,0,0,0,0,55971.02466,1597516.67,1637979.531,1388896.372
FA(14:1)nx,7,0,0,132168.8726,135581.5991,138958.3721,0,0,0,0,0,14828.55933,353240.3286,458519.6763,391693.4858
FA(14:1)nx,8,0,0,682286.0234,665376.1167,691067.4819,0,0,0,0,0,142357.1807,2191899.186,2560036.373,2172022.548
FA(14:1)nx,9,0,0,399250.7246,405448.2153,376975.6533,0,0,0,0,0,42366.65173,483896.6709,634091.7402,561421.7356
FA(14:1)nx,10,0,0,1188273.182,1323086.995,1339858.482,0,0,0,0,0,225473.0244,2177025.119,2941896.022,2524715.791
FA(14:1)nx,11,0,0,566056.7334,571310.0767,594044.0029,0,0,0,6950.787109,0,46750.63574,364551.1411,613998.0303,484083.7148
FA(14:1)nx,12,0,0,1857590.796,1705772.212,1590576.914,0,0,0,0,0,165821.5532,1527777.695,2223837.07,1934600.884
FA(14:1)nx,13,0,0,376988.8535,398862.6987,394678.6743,0,0,0,0,0,17553.02197,132291.0603,218085.4067,204970.0261
FA(14:1)nx,14,0,0,946051.5,915955.2188,955953.8892,0,0,0,0,0,61124.69946,423622.8838,791277.5317,676333.5166
FA(14:1)ny,0,1459658.642,1405267.771,7448807.078,8199807.898,8761546.141,6898353.699,8268927.031,9427089.148,4681944.785,6758775.25,6556065.922,12092268.92,12079219.66,11696583.31
FA(14:1)ny,1,0,0,1117224.634,1192832.227,1192093.154,1106465.447,1195627.148,1415618.226,654937.3494,1008383.937,983465.9395,1850478.481,1806085.945,1711728.72
FA(14:1)ny,2,0,0,118459.6956,0,147686.7275,0,397916.4958,0,0,0,299824.2522,0,0,0
FA(14:1)ny,3,0,0,0,0,1363.34021,0,0,21842.91248,0,12572.75623,0,26216.38904,0,0
FA(14:1)ny,4,0,0,0,0,0,0,0,0,5267.969971,6009.620361,0,234236.1606,184365.759,0
FA(14:1)ny,5,0,0,0,0,0,0,0,0,0,0,0,44267.36609,31056.43408,0
FA(14:1)ny,6,0,0,126270.5596,124311.0371,0,0,0,0,26439.7207,0,68115.5553,450858.7358,506662.566,598150.1631
FA(14:1)ny,7,0,0,82133.11108,104526.366,0,0,0,0,2603.072021,0,12487.19714,86266.69336,137676.1244,152753.0701
FA(14:1)ny,8,0,0,452094.9861,523208.468,0,0,0,0,0,0,192547.5105,659776.4873,849784.2883,997462.7251
FA(14:1)ny,9,0,0,225427.0469,300427.1479,0,0,0,0,18928.4624,0,55696.26172,147721.2537,203404.2668,256975.1045
FA(14:1)ny,10,0,0,1097906.066,1129312.268,0,0,0,0,0,0,266111.0835,725807.9316,1011890.059,1256692.635
FA(14:1)ny,11,0,0,447495.1541,496044.9558,0,0,0,0,0,0,50954.0293,98955.3623,190848.6873,235048.0015
FA(14:1)ny,12,0,0,1337137.928,1473216.635,0,0,0,0,0,0,251110.5005,503293.0024,797227.0908,909648.7278
FA(14:1)ny,13,0,0,276642.6548,313376.0742,0,0,0,0,0,0,19939.85693,0,58307.06348,66154.16455
FA(14:1)ny,14,0,0,783065.627,811892.314,0,0,0,0,0,0,0,126154.988,228894.3594,345576.8186
FA(16:0),0,946835812,788200310.3,1645911055,2188232479,2195732994,1463588484,2295620786,2814392388,636698538,2163338883,2326739809,1515283020,1943073963,1749238859
FA(16:0),1,163743572.7,135381759.9,283183346.3,378027145.7,379979562.5,253810883.1,397145611.2,487067004.5,110186575.8,372499507.4,402421076.4,261561579.8,337151653.8,304018284.1
FA(16:0),2,16499737.47,13335893.14,42828181.19,58408495.4,55166903.65,28544101.77,45102073.9,54039709.42,17785689.22,57282077.07,62388892.91,48373311.6,57048576.2,50050315
FA(16:0),3,868329.0911,576294.0615,4635967.573,6729130.607,5819521.198,2421099.348,3784494.68,4908891.771,1822379.438,6648417.472,7664746.108,7167323.116,7743437.147,6529614.067
FA(16:0),4,0,0,7372401.84,10194707.86,9705000.019,795182.2124,1250772.992,1721250.759,4316542.404,15374716.56,19213984.67,34001429.97,34338375.43,28535511.65
FA(16:0),5,0,0,4586653.195,6373598.675,6097215.64,0,265593.6084,335055.271,2135069.538,8198522.935,9899567.735,10456766.97,11631987.25,9856995.047
FA(16:0),6,0,0,30048736.7,40867198.69,38658541.75,439838.3928,846094.8586,1098218.706,15984023.68,56764551.47,68331477.14,66278194.88,76976632.03,65131896.97
FA(16:0),7,0,0,21631716.44,29509140.88,27593446.43,270804.6343,480717.0713,784500.6606,8914333.643,32169937.01,37065047.5,21528064.85,28145697.61,24128203.07
FA(16:0),8,0,0,103812198.2,138957343.4,133829870.4,1243850.993,1974817.094,2442412.657,47879326.21,169397654.3,195197442.5,109735459,148934006.3,128098254.4
FA(16:0),9,0,0,72395982.24,97698707.21,92553142.33,763117.7402,1056427.789,1225134.632,24609597.39,88968221.54,101249793,35452551.13,54681713.09,47648947.13
FA(16:0),10,0,0,266750643.1,360070044,343792491.7,2274944.218,3108138.561,3697715.169,104061817.9,367355361.5,417464944.4,147915381.1,233405014.5,200730240.8
FA(16:0),11,0,0,156565701,213261048.1,203499033.4,1259448.63,1694568.193,1904617.212,45077236.57,158823895,178202679,43317655.72,76465248.07,67039887.83
FA(16:0),12,2433.72583,16783.47827,481934659.8,650036570.3,618086340.8,2843582.513,3531191.396,4117665.232,155286764.6,551916560.5,624162465.1,156284712.6,275046319.1,239525086
FA(16:0),13,0,0,206286951.8,284694453.2,267255965.8,1077948.24,1349417.074,1518287.076,50267994.96,174686110.4,196252371.2,35051528.41,70299741.37,62563440.83
FA(16:0),14,0,0,538727361,722166800.4,687036361.2,2556999.546,2464551.008,2925594.359,148493460.8,512504961.8,580282236.5,109488087.8,212473813.3,187107658.9
FA(16:0),15,0,22244.98657,126281499.4,171559896.3,161910478.7,621686.1182,821650.4548,857652.1687,26170399.15,90833729.04,101688546,14753359.28,31076044.7,27886486.14
FA(16:0),16,0,0,277536188.4,374469894.5,353938697,1585469.866,1956340.641,2287599.702,64806328.19,226025426.8,256756548.2,38947550.11,82201063.94,72882006.42
FA(16:1)n10,0,15047766.5,28510945.06,157432639.8,164353047.5,150700274.3,82834321.06,130380008.4,164054885.4,30232821.69,79860089.38,73864423.88,239764290.1,278622751,257363699.8
FA(16:1)n10,1,3089751.578,4882404.914,27078353.48,28394097.08,25993443.16,14417708.61,22948315.55,29123777.25,4865400.594,13945438.78,12836067.05,41711105.63,47798029.31,44376410.09
FA(16:1)n10,2,0,0,5084586.168,5460651.635,5413480.112,1865070.988,3204284.849,3780553.624,185868.873,1698495.741,0,10931741.95,13186575.01,12176907.21
FA(16:1)n10,3,0,0,494285.1133,595130.5503,636160.2927,102198.2212,237012.1787,0,0,0,0,2095883.718,2148839.28,1913243.007
FA(16:1)n10,4,0,0,714722.1401,732429.3137,654130.2798,0,59584.52881,0,0,0,0,10230439.37,10273391.61,9561527.248
FA(16:1)n10,5,0,0,425184.3406,473672.1597,473472.6445,0,0,4912.063232,0,0,0,3226618.942,3449117.78,3095778.311
FA(16:1)n10,6,0,0,2795822.484,2907857.184,3130817.32,0,0,0,0,0,0,19790098.57,23031457.94,20254199.28
FA(16:1)n10,7,0,0,2277073.761,2369589.083,2382565.536,0,0,0,0,0,0,6452551.112,8223481.631,7117878.773
FA(16:1)n10,8,0,0,10641059.09,11766270.62,10947884.12,0,0,101947.9685,0,0,0,33102364.22,42381670.54,38203762.62
FA(16:1)n10,9,0,0,7770606.965,8575636.532,8445603.828,0,0,22135.74829,0,0,0,10008410.58,15005084.08,13518756.21
FA(16:1)n10,10,0,0,27826912.87,30324536.69,29627717.82,111983.5808,121878.1658,148965.6958,0,0,0,43019037.45,62948303.34,56875456.41
FA(16:1)n10,11,0,0,17560289.7,19279961.71,18588074.68,0,41828.21655,0,0,0,0,12312825.89,19857870.66,17520497.64
FA(16:1)n10,12,0,0,51725534.39,54967646.21,53238478.41,159728.1455,0,139538.7397,0,0,0,41734077.44,69155294.63,61869292.45
FA(16:1)n10,13,0,0,22587680.2,24498515.13,23874214.75,31800.37891,0,0,0,0,0,8894012.311,16759790.17,14953876.5
FA(16:1)n10,14,0,0,56750718.69,61222439.49,59072113.81,112814.7915,0,108825.7832,0,0,0,27566570.61,49776989.31,44570329.77
FA(16:1)n10,15,0,0,13496372.94,14799874.1,14066553.14,0,0,0,0,0,0,3303357.118,6682783.149,6264451.621
FA(16:1)n10,16,0,0,28516887.36,31184694.04,29405578.48,69125.81567,54871.77734,76340.79614,0,0,0,8635912.58,17655345.96,16037430.57
FA(16:1)n7,0,4020454.25,8694620.688,787835809.5,862587576.1,847882640.7,749209396.2,1113144028,1153596342,381009097.3,1007011830,1044084093,642323878.2,719835579.3,661687501.1
FA(16:1)n7,1,0,1507670.055,135902589.4,149360902.9,146884398.2,128841890.2,192849919.8,199840624.7,66608447.5,175523814.6,180213197.4,110769106.7,123903620.9,113435882.5
FA(16:1)n7,2,0,0,25536526.81,28408263.6,28309053.83,18892819.41,28882078.82,29097406.94,12454484,33495922.95,34684953.43,11336214.51,13368464.92,12383137.77
FA(16:1)n7,3,0,0,3080411.898,3267537.48,3207548.249,1927750.907,2936940.955,3062988.162,1542573.021,4271020.527,4648321.694,889365.7656,1060294.206,991984.6594
FA(16:1)n7,4,0,0,3630145.966,3818407.836,3917719.557,712606.51,0,1117096.111,3549228.69,8865001.549,10874454.04,0,585587.3523,0
FA(16:1)n7,5,0,0,1957460.799,2028173.949,1981908.495,73992.91455,0,141025.9836,1624112.675,4172566.28,4701112.002,0,47511.02954,0
FA(16:1)n7,6,0,0,12425158.74,13380715.81,12895190.21,420014.2476,0,682983.7549,11598281.81,29504085.76,32860907.55,0,858989.8438,0
FA(16:1)n7,7,0,0,8889521.008,9459848.868,9472004.824,177197.9302,0,266869.9854,5509681.782,14926302.11,16237663.36,0,224982.3257,0
FA(16:1)n7,8,0,0,41693399.9,44701920.06,44575210.85,728690.3416,0,1013529.925,31409590.15,77866722.95,86890801.12,0,1691139.996,0
FA(16:1)n7,9,0,0,27769145.52,30441324.72,30770580.95,376033.874,0,524880.814,14589708.1,35981465.41,39147601.81,0,491820.0828,0
FA(16:1)n7,10,0,0,105547380.2,111869480.2,111723909.1,1147533.311,0,1566371.836,62183958.84,152082115.2,167763285.7,0,2347863.414,0
FA(16:1)n7,11,0,0,59962326.48,65136100.68,64000313.81,576590.9492,0,659891.0281,23900171.21,59592788.5,64187735.61,0,638019.8032,0
FA(16:1)n7,12,0,0,184484541.1,195539905.5,194361923.1,1357132.321,0,1657295.78,84711549.75,208423561.7,225408498.4,0,2516298.927,0
